label,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,n_features,groups
full,0.2429488966973185,0.023706358206462656,0.1720415395814648,0.007889007468794096,0.1824139248234484,0.06293568776619347,348,"wind,pressure,wp_couple,position,spatial,env,land_sea"
leave_out_wind,0.2416477862523793,0.025127383232672103,0.17115512127034802,0.008578425951419208,0.19220787829994856,0.06346188171569944,340,"pressure,wp_couple,position,spatial,env,land_sea"
leave_out_pressure,0.24155358330249,0.022882650270697896,0.17004508025144038,0.006904089202829832,0.19129778486800275,0.0645484660850915,340,"wind,wp_couple,position,spatial,env,land_sea"
leave_out_wp_couple,0.2438796007960759,0.02413996672815916,0.17310034190448964,0.007990553572511813,0.17590349807467293,0.07154650450632907,347,"wind,pressure,position,spatial,env,land_sea"
leave_out_position,0.24152666435875977,0.024254232327894632,0.17232875245545137,0.009279072213095475,0.19287686542543184,0.05525639606686377,343,"wind,pressure,wp_couple,spatial,env,land_sea"
leave_out_spatial,0.2395102409260001,0.02874614243022876,0.16786025116806727,0.011722289108647733,0.2074207429733554,0.0883609684034212,328,"wind,pressure,wp_couple,position,env,land_sea"
leave_out_env,0.2514448438009039,0.023664763342392984,0.18117175934255142,0.007679412694504069,0.12318897616338062,0.07182815469458097,48,"wind,pressure,wp_couple,position,spatial,land_sea"
leave_out_land_sea,0.24024975608343482,0.026376679576370007,0.1698520377090219,0.010499342284109496,0.20307427097185685,0.05727129997707306,345,"wind,pressure,wp_couple,position,spatial,env"
only_wind,0.2620056179576143,0.024234383633726448,0.18469599203178116,0.011476902074240484,0.043759763591197556,0.11626447185867896,11,wind
only_pressure,0.2512574125560479,0.021541725108624846,0.18049460976204418,0.007872485691590742,0.1229343377033167,0.07410531691998942,8,pressure
only_wp_couple,0.25602720799625195,0.022841167626411238,0.18206766510470912,0.007590356304976029,0.09030518766721454,0.07132655666265651,1,wp_couple
only_position,0.28595467649484985,0.035267729610716565,0.2037666479556952,0.018126466401811897,-0.1247325879099284,0.07974161072215248,5,position
only_spatial,0.2838017612582633,0.02480049668591691,0.20874127747673527,0.011690898103431716,-0.11930219841837038,0.10322699387940408,20,spatial
only_env,0.24380643706379201,0.026632339858178446,0.17319392355582267,0.01344816860714209,0.17865831612888583,0.06028045631891649,303,env
only_land_sea,0.2703620729322159,0.03185403555343456,0.19740043725836345,0.013252356000940818,-0.0053017874856453595,0.003956438778209461,3,land_sea
wind_only,0.2620056179576143,0.024234383633726448,0.18469599203178116,0.011476902074240484,0.043759763591197556,0.11626447185867896,11,wind
pressure_only,0.2512574125560479,0.021541725108624846,0.18049460976204418,0.007872485691590742,0.1229343377033167,0.07410531691998942,8,pressure
wind+pressure,0.2613035619696288,0.021811491286133623,0.18530859055459503,0.010185019920131188,0.04801117041346041,0.11170218856078575,20,"wind,pressure,wp_couple"
tabular_only,0.25874229192494735,0.03014881387857392,0.18324994209329196,0.013434484007403037,0.07107678124065411,0.1335168878112922,25,"wind,pressure,wp_couple,position"
spatial_only,0.2838017612582633,0.02480049668591691,0.20874127747673527,0.011690898103431716,-0.11930219841837038,0.10322699387940408,20,spatial
tabular+spatial,0.25259640381721604,0.02204509759892762,0.18250983860703007,0.007101725397476762,0.1138524097626104,0.07444473778458781,45,"wind,pressure,wp_couple,position,spatial"
tabular+spatial+env,0.24024975608343482,0.026376679576370007,0.1698520377090219,0.010499342284109496,0.20307427097185685,0.05727129997707306,345,"wind,pressure,wp_couple,position,spatial,env"
no_land_sea,0.24024975608343482,0.026376679576370007,0.1698520377090219,0.010499342284109496,0.20307427097185685,0.05727129997707306,345,"wind,pressure,wp_couple,position,spatial,env"
land_sea_only,0.2703620729322159,0.03185403555343456,0.19740043725836345,0.013252356000940818,-0.0053017874856453595,0.003956438778209461,3,land_sea
3d_focus,0.24468190452508853,0.025725239553399323,0.1769315098645575,0.011593197599947399,0.17298474509898612,0.05174947445276095,323,"spatial,env"
3d+wind,0.2415980080009969,0.025608035285892873,0.17289355189561947,0.010257902742283385,0.193566257110477,0.05422904917752886,331,"spatial,env,wind"
3d+pressure,0.2430199670545729,0.02493585259602324,0.17506964766502325,0.011179848897878845,0.18274911328409832,0.06098688846699991,331,"spatial,env,pressure"
3d+tabular,0.23884172225144784,0.02498174328456728,0.16979520521845942,0.008308018116503137,0.2119382272389368,0.04427643878335811,345,"spatial,env,wind,pressure,wp_couple,position"
