label,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,n_features,groups
full,64.4416992409487,0.6704351881795159,48.799757837128546,0.49203360449368305,0.4190716973325844,0.008347159196939355,44,"wind,pressure,wp_couple,position,spatial,env,land_sea"
leave_out_wind,64.59341479621365,0.6601478274215415,48.682421393471245,0.5018363514013688,0.41634651768357306,0.007212591258709154,36,"pressure,wp_couple,position,spatial,env,land_sea"
leave_out_pressure,64.50110081463237,0.5704959759349504,48.74954922757996,0.2643711612900194,0.4179474325284945,0.010525462179397708,36,"wind,wp_couple,position,spatial,env,land_sea"
leave_out_wp_couple,64.24715050950404,0.604050271695255,48.60957239550392,0.33573646211571007,0.4225923239254036,0.0058677434375997645,43,"wind,pressure,position,spatial,env,land_sea"
leave_out_position,71.39705168896336,1.0530397755204588,54.73191492964672,0.7426264391026224,0.28696042258592,0.011642026439265419,40,"wind,pressure,wp_couple,spatial,env,land_sea"
leave_out_spatial,70.15778643334417,0.4629763415786261,53.3291944925056,0.5661180200131228,0.31139974439066703,0.009773683417971364,24,"wind,pressure,wp_couple,position,env,land_sea"
leave_out_env,64.4416992409487,0.6704351881795159,48.799757837128546,0.49203360449368305,0.4190716973325844,0.008347159196939355,44,"wind,pressure,wp_couple,position,spatial,land_sea"
leave_out_land_sea,64.30849991020035,0.5724669920791784,48.731849943989104,0.33468305707779666,0.4214992610155176,0.00409032037792381,41,"wind,pressure,wp_couple,position,spatial,env"
only_wind,84.13496405344047,1.0626100686515576,66.54455137037107,1.0479389634776135,0.009619925134433193,0.024066406839441726,8,wind
only_pressure,83.93586833091953,0.780888796919143,66.289246324314,0.605529555496572,0.014318720492544745,0.01981830729870478,8,pressure
only_wp_couple,83.57641198357524,1.0780378412153648,66.14160339748396,1.0079159892175622,0.022883281451791703,0.016505504102226745,1,wp_couple
only_position,73.81220046510157,0.96637855008879,56.23194216487941,0.7600839332182199,0.23774572686248502,0.018399169218400197,4,position
only_spatial,69.75091441685836,1.0494651389572902,51.44549758656022,0.4711323283148264,0.31943518806182075,0.012752714498850695,20,spatial
only_land_sea,84.59001225677088,0.8885640399111056,66.98244270687864,0.9056546457272667,-0.0008783609348637977,0.001205949188986325,3,land_sea
wind_only,84.13496405344047,1.0626100686515576,66.54455137037107,1.0479389634776135,0.009619925134433193,0.024066406839441726,8,wind
pressure_only,83.93586833091953,0.780888796919143,66.289246324314,0.605529555496572,0.014318720492544745,0.01981830729870478,8,pressure
wind+pressure,82.32938120791744,1.3445054375743766,64.6830633582825,1.0573232823707484,0.051627234081689545,0.028706496333932883,17,"wind,pressure,wp_couple"
tabular_only,70.5705060433593,0.5069268558070752,53.497216763253995,0.5305996411924658,0.3032879535890882,0.009297211682522498,21,"wind,pressure,wp_couple,position"
spatial_only,69.75091441685836,1.0494651389572902,51.44549758656022,0.4711323283148264,0.31943518806182075,0.012752714498850695,20,spatial
tabular+spatial,64.30849991020035,0.5724669920791784,48.731849943989104,0.33468305707779666,0.4214992610155176,0.00409032037792381,41,"wind,pressure,wp_couple,position,spatial"
tabular+spatial+env,64.30849991020035,0.5724669920791784,48.731849943989104,0.33468305707779666,0.4214992610155176,0.00409032037792381,41,"wind,pressure,wp_couple,position,spatial,env"
no_land_sea,64.30849991020035,0.5724669920791784,48.731849943989104,0.33468305707779666,0.4214992610155176,0.00409032037792381,41,"wind,pressure,wp_couple,position,spatial,env"
land_sea_only,84.59001225677088,0.8885640399111056,66.98244270687864,0.9056546457272667,-0.0008783609348637977,0.001205949188986325,3,land_sea
3d_focus,69.75091441685836,1.0494651389572902,51.44549758656022,0.4711323283148264,0.31943518806182075,0.012752714498850695,20,"spatial,env"
3d+wind,71.76511041399031,0.9315012684797744,55.02733884841804,0.5822458106148132,0.2795612783712708,0.01131292238860871,28,"spatial,env,wind"
3d+pressure,70.88565979933905,0.9761466308826321,54.10490518847115,0.5240503926658706,0.29706900542242537,0.014034460182004821,28,"spatial,env,pressure"
3d+tabular,63.918324193694026,0.4004889628870381,48.40953926758836,0.41326856884781027,0.42842213211960684,0.008811868377919094,41,"spatial,env,wind,pressure,wp_couple,position"
