train_basins,test_basin,n,rmse_24h,mae_24h,rmse_48h,mae_48h
WP,WP,31,0.11722143,0.094390765,0.2902211,0.20442417
WP,NA,42,0.24536985,0.19420792,0.334607,0.2759248
WP,EP,21,0.18336989,0.15277526,0.36489415,0.2933392
NA,WP,31,0.3274404,0.23382264,0.4920282,0.38353768
NA,NA,42,0.09878964,0.073609225,0.25275397,0.20100124
NA,EP,21,0.10097086,0.06984128,0.39690518,0.27644363
EP,WP,31,1.548526,1.5427296,3.1213274,3.108988
EP,NA,42,1.6554729,1.651301,2.8529043,2.8377628
EP,EP,21,0.17002347,0.13379619,0.4576349,0.35397902
WP,WP,31,0.11722143,0.094390765,0.2902211,0.20442417
WP,NA,42,0.24536985,0.19420792,0.334607,0.2759248
WP,EP,21,0.18336989,0.15277526,0.36489415,0.2933392
WP+NA,WP,31,0.11552312,0.08408448,0.28707132,0.18856199
WP+NA,NA,42,0.13497692,0.115218595,0.2537413,0.20941404
WP+NA,EP,21,0.123365596,0.105706304,0.34628925,0.2701338
WP+NA+EP,WP,31,0.110745706,0.07428613,0.2961789,0.18563859
WP+NA+EP,NA,42,0.11779556,0.094085895,0.2572779,0.20756942
WP+NA+EP,EP,21,0.09103177,0.075596966,0.37455228,0.2832488
