train_basins,test_basin,n,rmse_hours,mae_hours
WP,WP,378,73.48273,54.845383
WP,NA,267,104.66633,81.92695
WP,EP,240,75.35517,64.456985
NA,WP,378,1052.7063,1050.0205
NA,NA,267,106.454475,85.648834
NA,EP,240,1051.3618,1048.861
EP,WP,378,782.2099,778.59174
EP,NA,267,817.71344,810.55865
EP,EP,240,69.35976,55.444588
WP,WP,378,73.48273,54.845383
WP,NA,267,104.66633,81.92695
WP,EP,240,75.35517,64.456985
WP+NA,WP,378,72.072685,55.798466
WP+NA,NA,267,109.748436,85.473404
WP+NA,EP,240,71.334045,60.08703
WP+NA+EP,WP,378,74.235016,57.341248
WP+NA+EP,NA,267,112.65427,88.05464
WP+NA+EP,EP,240,69.7585,58.85206
